article_title,article_Date
Apple's plan to kill autoplay feature could leave publishers in the dust,6-Jun-17
Apple built a machine just for replacing iPhone screens,7-Jun-17
Apple's HomePod is coming. Here's what you need to know about smart speakers,8-Jun-17
"Apple's Tim Cook: 'Don't listen to trolls, and for God's sake don't become one'",9-Jun-17
Apple gets cored: Stock falls on iPhone 8 concerns,12-Jun-17
Tim Cook says Apple is working on self-driving tech: Just not a car,13-Jun-17
Tesla's Autopilot chief out just six months after leaving Apple,21-Jun-17
"The Apple Watch, chopsticks and water bottles: Objects designers love to hate",23-Jun-17
"The Apple Watch, chopsticks and water bottles: Objects designers love to hate",23-Jun-17
Inside Apple: How the iPhone almost never happened,27-Jun-17
Apple rival shows off phone with on-screen fingerprint scanner,29-Jun-17
Apple vs. Google: Which is the better stock?,29-Jun-17
Formula E: Big Apple double for Sam Bird and Virgin Racing,16-Jul-17
"Apple unveils new emoji, including breastfeeding mom",17-Jul-17
Apple patents way to secretly call 911 using your fingerprint,18-Jul-17
"Apple, Google and Microsoft are hoarding $464 billion in cash",19-Jul-17
Can apple cider vinegar help with weight loss?,19-Jul-17
Apple supplier Foxconn says it will build big Wisconsin factory,26-Jul-17
Apple supplier: We're not ready to announce U.S. factory just yet,26-Jul-17
Apple discontinues iPod nano and iPod shuffle,27-Jul-17
Apple discontinues iPod nano and iPod shuffle,27-Jul-17
Samsung's profit on track to beat Apple,27-Jul-17
Apple is removing VPN apps that allow users to skirt China's Great Firewall,29-Jul-17
Apple is removing VPN apps that allow users to skirt China's Great Firewall,29-Jul-17
Apple and Tesla earnings; Jobs report; German carmakers gather for 'diesel summit',30-Jul-17
"Apple earnings; Dow 22,000 in sight; Dollar slumps",1-Aug-17
Apple stock pops on optimism for iPhone 8 sales,1-Aug-17
"Dow nears 22,000; Apple defies gravity; AMC's scary preview",2-Aug-17
Apple's Tim Cook: I disagree with Trump on Charlottesville,17-Aug-17
Apple's Tim Cook: I disagree with Trump on Charlottesville,17-Aug-17
Tim Cook: Apple will invest $1.3 billion in Iowa,24-Aug-17
Fitbit tries to catch up to the Apple Watch,28-Aug-17
Apple teases the future of augmented reality apps,29-Aug-17
Apple's Tim Cook gets $89 million stock payout,29-Aug-17
Apple finally speaks up on net neutrality,31-Aug-17
Apple finally speaks up on net neutrality,31-Aug-17
Apple will likely unveil new iPhones on Sept. 12,31-Aug-17
"Apple donates $5 million to hurricane relief, makes it easier for customers to donate",8-Sep-17
Apple's big iPhone reveal is a day away,9-Sep-17
"Will $1,000 iPhone = $1 trillion value for Apple?",11-Sep-17
Apple's next big thing; North Korea; Sunny stocks,12-Sep-17
"First look at Apple Park, Steve Jobs' dream campus",12-Sep-17
"First look at Apple Park, Steve Jobs' dream campus",12-Sep-17
Nordstrom buyout; Apple aftermath; Toshiba sale,13-Sep-17
The X factor: Did Apple wow enough?,13-Sep-17
Apple-backed group to buy Toshiba chip business for $18 billion,21-Sep-17
"Sorry, kids: Apple's new Face ID isn't meant for you",27-Sep-17
FCC calls on Apple to activate FM chips in iPhones for public safety,28-Sep-17
Apple reports record number of U.S. national security requests,29-Sep-17
"Schumer, Pelosi: Dreamers are as American as apple pie",29-Sep-17
"Apple teases hundreds of new emoji, including gender neutral options",6-Oct-17
Apple's Jony Ive: Some people 'misuse' iPhones,6-Oct-17
The iPhone X won't solve Apple's China problems,2-Nov-17
Who will run the Fed?; U.K. rate hike; Apple earnings,2-Nov-17
Apple crosses $900 billion. Next stop: $1 trillion?,3-Nov-17
Apple defends use of new tax haven after Ireland got tough,7-Nov-17
Jennifer Aniston returning to TV in Apple original series with Reese Witherspoon,8-Nov-17
"Apple finally fixes ""i"" autocorrect issue",9-Nov-17
Apple's HomePod speaker delayed until next year,17-Nov-17
There's a bug in Apple's most recent operating system,28-Nov-17
There's a bug in Apple's most recent operating system,28-Nov-17
Apple files for yet another flip phone patent,29-Nov-17
Apple fixes macOS High Sierra security flaw,29-Nov-17
Apple may not need this supplier. Its stock crashes 23%,4-Dec-17
Amazon Prime Video now available on Apple TV,6-Dec-17
Amazon Prime Video now available on Apple TV,6-Dec-17
"Siri, what's that song? Apple buys Shazam",11-Dec-17
Can Apple make us play Pokemon Go again?,20-Dec-17
"Apple: Yes, we're slowing down older iPhones",21-Dec-17
"Yes, Apple is slowing your old iPhone. But it's not a conspiracy",21-Dec-17
What to do if you think Apple's slowing down your phone,22-Dec-17
Apple finally got its tax break to bring billions home. Your move Apple...,27-Dec-17
Apple CEO Tim Cook now takes private planes only,28-Dec-17
"Apple apologizes for slowing iPhone, drops battery prices",29-Dec-17
Dow's record rally; Apple apology; Uber investment,29-Dec-17
Dow's record rally; Apple apology; Uber investment,29-Dec-17
U.S. jobs report; Soaring stocks; Apple fixing flaws,5-Jan-18
Apple's Safari update protects devices from Spectre flaw,8-Jan-18
Investors to Apple: Fight iPhone addiction among kids,8-Jan-18
Investors to Apple: Fight iPhone addiction among kids,8-Jan-18
Apple needs to stop kids from getting hooked on phones,10-Jan-18
India makes it easier for brands like Apple to open stores,10-Jan-18
Early iPhone designer calls on Apple to curb tech addiction,11-Jan-18
Global backlash spreads over Apple slowing down iPhones,12-Jan-18
"Apple: We'll pay $38B in taxes and add 20,000 jobs in the U.S.",17-Jan-18
Kristen Wiig to star in comedy series from Apple,17-Jan-18
Apple and Amazon are expanding. Here's the rest of the story,18-Jan-18
Apple and Google charter buses vandalized on highway,18-Jan-18
Apple partners with Malala Yousafzai to fund girls' education,22-Jan-18
Apple's iOS 11.3 update gives you control over iPhone slowdown,24-Jan-18
Apple's iOS 11.3 update gives you control over iPhone slowdown,24-Jan-18
Qualcomm fined $1.2 billion for paying Apple to use its chips,24-Jan-18
Qualcomm fined $1.2 billion for paying Apple to use its chips,24-Jan-18
Apple is set to report a giant profit. But iPhone X demand worries investors,30-Jan-18
Apple probed by U.S. government over iPhone slowdown,30-Jan-18
Apple probed by U.S. government over iPhone slowdown,30-Jan-18
"Apple posts record $88 billion in sales, but iPhone concerns loom",1-Feb-18
How will Apple create its media empire?,1-Feb-18
Apple shares fall 4% into correction territory,2-Feb-18
Apple shares fall 4% into correction territory,2-Feb-18
Apple confirms HomePod may leave unsightly marks on wood,14-Feb-18
Russia's trying to toss us an apple of discord. We mustn't bite.,20-Feb-18
Gun safety groups want Apple TV and Amazon Fire to pull NRATV,23-Feb-18
Apple is leading the race to $1 trillion,27-Feb-18
"5 things for February 28: Florida shooting, White House, teacher strike, Apple",28-Feb-18
Apple is under fire for moving iCloud data to China,28-Feb-18
Inside the war between Spotify and Apple,5-Mar-18
"PACIFIC for March 8: What will Apple buy?, Kalanick's return, Uber's retreat",8-Mar-18
Apple is buying the 'Netflix for magazines' company,12-Mar-18
Apple's TV strategy explained,12-Mar-18
Fitbit unveils Apple Watch competitor and fitness tracker for kids,13-Mar-18
Apple debuts new page to help parents with screen-time concerns,15-Mar-18
"From service dogs to a prosthetic arm, Apple proposes 13 disability emojis",23-Mar-18
PACIFIC for March 26: Apple fires on Facebook,26-Mar-18
Apple spring event 2018: A new iPad and 4 other takeaways,27-Mar-18
Apples and cherries are at stake in China trade fight,27-Mar-18
"When Apple has a bad day, we all have a bad day",29-Mar-18
Intel stock tumbles on report that Apple will make its own Mac chips,2-Apr-18
PACIFIC for April 2: Zuckerberg fires back at Apple,2-Apr-18
China's tariffs would hurt Apple and these other US companies,4-Apr-18
"Apple co-founder Steve Wozniak 'disgusted' with Facebook, deactivates account",9-Apr-18
"Apple co-founder Steve Wozniak 'disgusted' with Facebook, deactivates account",9-Apr-18
Apple unveils red iPhone 8,9-Apr-18
Apple is now completely powered by clean energy,10-Apr-18
I want the same tax-cut deal Apple is getting,13-Apr-18
Apple sinks on fears of slowing iPhone sales,20-Apr-18
EU hits pause on Apple's deal to buy Shazam,23-Apr-18
Apple faces Wall Street 'panic' over iPhone,30-Apr-18
Apple rewarded its investors with a record cash giveaway,1-May-18
"Apple sold only 3% more iPhones last quarter, but profit soared",1-May-18
Dow climbs 332 points as Apple and jobs report lift stocks,4-May-18
Warren Buffett just bought a ton more shares of Apple,4-May-18
Warren Buffett just bought a ton more shares of Apple,4-May-18
Apple inches closer to $1 trillion market value,7-May-18
Apple inches closer to $1 trillion market value,7-May-18
Apple's game-changing iMac turns 20 years old,7-May-18
Apple's game-changing iMac turns 20 years old,7-May-18
Apple scraps plans for $1 billion Irish data center,10-May-18
Apple's Tim Cook urges Duke graduates to think hard about data privacy,13-May-18
"Are Apple, Amazon and Facebook the future of banking?",15-May-18
"Are Apple, Amazon and Facebook the future of banking?",15-May-18
Apple now lets Europeans download all the data it holds on them,23-May-18
What to expect at Monday's Apple event,3-Jun-18
What to expect at Monday's Apple event,3-Jun-18
Apple co-founder Steve Wozniak: The one thing I'd tell my 18-year-old self,5-Jun-18
"Apple hits Facebook, again",5-Jun-18
"Apple hits Facebook, again",5-Jun-18
Apple is close to becoming the first $1 trillion American company,5-Jun-18
Change at Starbucks; Apple near $1 trillion; RBS sale,5-Jun-18
How Apple avoids the 'techlash',5-Jun-18
PACIFIC â€¢ Apple is 'The Boring Company',5-Jun-18
Will these California cities impose a 'Google tax' or an 'Apple tax'?,5-Jun-18
Apple warns suppliers that iPhone demand is falling - report,8-Jun-18
Apple closes law enforcement loophole for the iPhone,14-Jun-18
Apple is starting a music publishing business. Huh?,14-Jun-18
Apple is starting a music publishing business. Huh?,14-Jun-18
Oprah strikes deal with Apple as new Hollywood content wars heat up,15-Jun-18
Oprah strikes deal with Apple as new Hollywood content wars heat up,15-Jun-18
Apple partners with Sesame Workshop for children's programming,20-Jun-18
Apple partners with Sesame Workshop for children's programming,20-Jun-18
Apple promises free repairs for faulty MacBook keyboards,23-Jun-18
Apple promises free repairs for faulty MacBook keyboards,23-Jun-18
Apple and Samsung settle their epic patent infringement battle,27-Jun-18
"PACIFIC â€¢ Apple is taking on Amazon, Spotify and Netflix in one move",28-Jun-18
Apple MacBook Pro line gets a refresh,12-Jul-18
Apple is spending millions to clean up China's environment,13-Jul-18
Apple is spending millions to clean up China's environment,13-Jul-18
Apple is helping bring education to girls in Brazil,14-Jul-18
"Redheads, lobsters and cupcakes: Apple shows off new iOS emojis",16-Jul-18
Qualcomm: Apple won't use our chips in the next iPhone,25-Jul-18
Qualcomm: Apple won't use our chips in the next iPhone,25-Jul-18
SoftBank takes on Apple and Samsung with new payment app,27-Jul-18
Apple earnings: All eyes on the next iPhone,31-Jul-18
"Apple is within striking distance of $1,000,000,000,000",31-Jul-18
Apple results; Central bank actions; Earnings abound,31-Jul-18
iPhone sales were flat but Apple's profit jumped 32%,31-Jul-18
Apple profit soars; Tariff threats; Tesla earnings,1-Aug-18
Apple profit soars; Tariff threats; Tesla earnings,1-Aug-18
Huawei beats Apple in smartphone sales for the first time,1-Aug-18
"iTrillion: Apple is this close to $1,000,000,000,000",1-Aug-18
"Apple reaches $1,000,000,000,000 value",2-Aug-18
Berkshire Hathaway's stake in Apple is now worth nearly $50 billion,4-Aug-18
Computer virus cripples top Apple supplier TSMC,6-Aug-18
"InfoWars app still in Google, Apple stores after companies move against other content",6-Aug-18
"YouTube, Apple and Facebook remove content from InfoWars and Alex Jones",6-Aug-18
"Apple: No, your iPhone isn't eavesdropping on you",8-Aug-18
Look out Apple! Amazon may soon be worth $1 trillion too,13-Aug-18
Look out Apple! Amazon may soon be worth $1 trillion too,13-Aug-18
Apple pulls gambling apps criticized by Chinese state media,20-Aug-18
Apple pulls gambling apps criticized by Chinese state media,20-Aug-18
Apple's Tim Cook is about to get a $120 million payday,23-Aug-18
Here's why Amazon may beat Apple to $2 trillion,5-Sep-18
"Apple says China tariffs would hit Apple Watch, Air Pods",7-Sep-18
Apple's iPhone is the MVP of the stock market,9-Sep-18
Apple's iPhone is the MVP of the stock market,9-Sep-18
Apple's iPhone event: What to expect,10-Sep-18
Apple is about so much more than just iPhones now,11-Sep-18
Apple is still struggling to sell iPhones in the world's hottest markets,11-Sep-18
Buy Apple on the iPhone news? Or sell on trade fears?,11-Sep-18
"Apple reveals three new iPhone Xs, latest Apple Watch",12-Sep-18
Apple unveils three new iPhone Xs,12-Sep-18
Apple unveils three new iPhone Xs,12-Sep-18
Why it's smart for Apple to be the Christian Dior of tech,12-Sep-18
Apple's new iPhones are boring. Investors should rejoice,13-Sep-18
How Apple got us to pay so much for the iPhone,13-Sep-18
Why the Apple watch could save lives,13-Sep-18
Apple disagrees with Trump administration on benefit of environmentalism,14-Sep-18
Apple disagrees with Trump administration on benefit of environmentalism,14-Sep-18
Apple is still struggling to sell iPhones in the world's hottest markets,28-Sep-18
Here's why Amazon may beat Apple to $2 trillion,30-Sep-18
"A llama, bagel and frisbee: Apple's new iOS 12.1 emoji",2-Oct-18
Apple helps Samsung surge to record profits,5-Oct-18
The Chinese phone giant that beat Apple to Africa,10-Oct-18
"Apple Watch worn by Saudi journalist may have transmitted evidence of his death, Turkish paper reports",12-Oct-18
Why claims Khashoggi's Apple Watch recorded alleged murder are unlikely,13-Oct-18
Why claims Khashoggi's Apple Watch recorded alleged murder are unlikely,13-Oct-18
"Start your Monday smart: Package bomb probe, World Series, DACA fate, Apple gadgets, Brazil votes",28-Oct-18
Apple investigates report that Chinese students were forced to make its watches,29-Oct-18
Apple and Starbucks earnings; Brexit relief; Google walkout,1-Nov-18
Apple continues its year of price hikes,1-Nov-18
Apple continues its year of price hikes,1-Nov-18
Apple no longer wants you to know how many iPhones it sells,1-Nov-18
Swedish council squashes Apple store plans,1-Nov-18
Swedish council squashes Apple store plans,1-Nov-18
Amazon and Apple are forecasting a tepid fourth quarter. Here's what that means,2-Nov-18
Apple disappoints; US jobs report; Trump talks China trade,2-Nov-18
Apple has a problem it doesn't want to talk about,2-Nov-18
The story of Apple and the iPhone in 3 charts,3-Nov-18
The story of Apple and the iPhone in 3 charts,3-Nov-18
What Amazon and Apple's deal means for third-party sellers,10-Nov-18
"Dow falls more than 200 points, dragged down by more Apple woes",14-Nov-18
Apple rebounds after 5-day stock slide,15-Nov-18
Firm that worked for Facebook tried to plant story alleging liberal bias at Apple News,16-Nov-18
Dieter Rams: The legendary designer who influenced Apple,20-Nov-18
Trump dims hopes of China trade deal with fresh tariff threat on Apple phones,26-Nov-18
Microsoft and Apple are fighting to be world's most valuable company,27-Nov-18
Why Microsoft is a better bet than Apple,28-Nov-18
Apple Music is coming to Amazon Echo,30-Nov-18
Microsoft passes Apple to become most valuable company,30-Nov-18
Tim Cook: Hate has 'no place' on Apple's platforms,3-Dec-18
Dr. Sanjay Gupta tests the Apple Watch's new ECG heart monitor,6-Dec-18
China bans sale of most iPhone models after granting Qualcomm an injunction against Apple,10-Dec-18
Chinese companies are threatening to punish employees caught using Apple products,11-Dec-18
Apple goes big in Austin; ECB meeting; Brexit nerves,13-Dec-18
Apple is spending $1 billion on a new campus in Austin,13-Dec-18
The Peanuts gang is getting new life thanks to Apple,14-Dec-18
Apple warns its iPhone sales could take a big hit from China slowdown,2-Jan-19
Read Tim Cook's full letter to investors about Apple sales,2-Jan-19
5 takeaways from Apple's stark China warning,3-Jan-19
5 takeaways from Apple's stark China warning,3-Jan-19
"5 things to know for January 3: Politics, Apple, India, SAT dispute, space",3-Jan-19
Apple meltdown; Markets shudder; DC power shift,3-Jan-19
Apple won't be the last casualty of China's slowdown,3-Jan-19
Apple's iPhone has lost its magic,3-Jan-19
Apple's plunge has cost Warren Buffett nearly $4 billion today,3-Jan-19
"Dow falls 660 points on Apple bombshell, US factory slowdown",3-Jan-19
"Dow falls 660 points on Apple bombshell, US factory slowdown",3-Jan-19
Markets shudder after Apple warns about China sales,3-Jan-19
Apple needs a cheap iPhone to crack India,4-Jan-19
Japanese stocks join global sell-off after Apple China warning,4-Jan-19
Trump again says Apple should change how it makes the iPhone,4-Jan-19
Apple brings iTunes to Samsung TVs as it seeks new revenue,7-Jan-19
"It's not just Apple â€” Samsung is hurting, too",8-Jan-19
The US-China tech war is getting worse. Apple is paying the price,9-Jan-19
China's exports plunge; Apple supplier hit; Detroit Auto Show,14-Jan-19
Huawei founder Ren Zhengfei is an Apple fan and wants to live forever,16-Jan-19
Apple shifts staff from autonomous vehicle project,24-Jan-19
"Apple's latest case will double the battery life of your iPhone XR, XS or XS Max",25-Jan-19
Apple earnings: How low can iPhone sales go?,28-Jan-19
Apple earnings; LVMH reports; Huawei charged,29-Jan-19
Apple sponsors its first-ever camp for women entrepreneurs,29-Jan-19
How to turn off FaceTime and avoid Apple's eavesdropping bug,29-Jan-19
How to turn off FaceTime and avoid Apple's eavesdropping bug,29-Jan-19
This 14-year old found Apple's FaceTime bug before it went viral,29-Jan-19
Apple says Facebook's controversial market research app violated its policies,30-Jan-19
It's clearer than ever Apple's iPhone problem isn't going away,30-Jan-19
Chinese engineer charged with stealing secret material from Apple,31-Jan-19
Chinese engineer charged with stealing secret material from Apple,31-Jan-19
Apple delays update for FaceTime eavesdropping bug,1-Feb-19
Apple restores Facebook's app-testing access after privacy dispute,1-Feb-19
"Apple's head of retail, Angela Ahrendts, is leaving after 5 years",5-Feb-19
"Apple's head of retail, Angela Ahrendts, is leaving after 5 years",5-Feb-19
Apple rolls out fix for FaceTime eavesdropping bug,7-Feb-19
"Apple 'won't have a model' in China in five to ten years, Ian Bremmer predicts",7-Feb-19
Another byproduct of this extreme cold: ghost apples,8-Feb-19
Apple and Google urged to remove Saudi app that tracks women,13-Feb-19
Former Apple lawyer accused of insider trading,13-Feb-19
What Apple killing its Do Not Track feature means for online privacy,13-Feb-19
"Huawei is crushing Apple in China, and the US is partly to blame",14-Feb-19
Man discovers 30 year old Apple computer still in working order,17-Feb-19
"Checkmate Apple, Samsung's Galaxy Buds are cheaper and offer little compromise",20-Feb-19
Report: Apple and Goldman Sachs are releasing a credit card together,21-Feb-19
Apple needed a kick in the pants. Samsung just delivered it,22-Feb-19
Apple Watch or Galaxy Watch? These are our favorite smartwatches,26-Feb-19
Spotify wants EU antitrust officials to investigate Apple,13-Mar-19
Spotify wants EU antitrust officials to investigate Apple,13-Mar-19
"Apple Watch app could detect life-threatening irregular heartbeat, study says",16-Mar-19
"Apple Watch app could detect life-threatening irregular heartbeat, study says",16-Mar-19
Apple unveils new iPad Air and iPad mini,18-Mar-19
"New iPad Air 10.5-inch, Mini have faster processors and Apple Pencil support",18-Mar-19
"Apple announces faster, smarter iMacs",19-Mar-19
"Apple announces new AirPods with wireless charging case, better battery life and 'Hey Siri'",20-Mar-19
Apple to join tech wave sweeping over Hollywood,22-Mar-19
What Apple is up against in the streaming-video world,23-Mar-19
"Start your Monday smart: Netanyahu, Jayme Closs, China, Apple, March Madness",24-Mar-19
All the shows Apple wants you to get excited about,25-Mar-19
Apple event 2019: Everything announced at Apple's big March presentation,25-Mar-19
Apple TV+ = Hollywood A-list of streaming options,25-Mar-19
Apple TV+ = Hollywood A-list of streaming options,25-Mar-19
"Apple wants investors to focus on its services business. Regulators may, too",25-Mar-19
Apple wants to sign you up for a digital newsstand with News+,25-Mar-19
Apple wants to sign you up for a digital newsstand with News+,25-Mar-19
Apple's new TV looks a lot like the old TV,25-Mar-19
Apple's new TV looks a lot like the old TV,25-Mar-19
"To succeed in entertainment, Apple may have to risk damaging its brand",25-Mar-19
"5 things to know for March 26: Mueller report, Obamacare, Brexit, bump stocks, Apple",26-Mar-19
Apple is staffing up as it expands the News app and launches a subscription service,26-Mar-19
Apple just made one of its boldest bets ever. It will have to do a lot more,26-Mar-19
Apple promises customers a safer digital world â€” for a price,26-Mar-19
Apple promises customers a safer digital world â€” for a price,26-Mar-19
Tim Cook says Apple Card is a game changer. Experts are not so sure,26-Mar-19
Apple made AirPods even better with three impressive features,28-Mar-19
Apple cancels plans for AirPower charging mat,29-Mar-19
Apple cuts iPhone prices in China,2-Apr-19
ACLU files complaint over Apple employee detained by customs,3-Apr-19
ACLU files complaint over Apple employee detained by customs,3-Apr-19
"This portable battery can charge your iPhone, Apple Watch and another device",4-Apr-19
